Sr. No.,State_Name_With_LGD_Code,District_Name_With_LGD_Code,Block_Name_With_LGD_Code,GP_Name_With_LGD_Code,Village,Site_Name,TYPE,SOURCE,Well_ID,Latitude,Longitude,Well_Depth (meters),Aquifer,Pre-monsoon_2015 (meters below ground level),Post-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Post-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Post-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Post-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Post-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Post-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Post-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Post-monsoon_2022 (meters below ground level)
1496,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Mudulodu_218907,G Kothur,G Kothur,Piezometer,Atal Jal,130527,13.7302,77.6611,298.78,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.35,26.78,19.9,15.03
1497,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Nagaragere_218908,Nagaragere,Nagaragere,Piezometer,Atal Jal,130542,13.757,77.636,295.73,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.46,2.23
1498,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Nakkalahalli_218909,Naklahalli,Naklahalli,Piezometer,Atal Jal,130543,13.68508,77.5878,360,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.95,1.21
1499,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Namagondlu_218910,Namagondlu,Namagondlu,Piezometer,Atal Jal,130544,13.577,77.606,207.31,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2,26.52,24.37,13.03
1500,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Pura_218911,Dwaraganahalli,Dwaraganahalli,Piezometer,Atal Jal,130546,13.53558,77.55207,158.33,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2.9
1501,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Ramapura_218912,Rampura,Rampura,Piezometer,Atal Jal,130547,13.617,77.442,250,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,41.28,33.68,19.89
1502,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Sonaganahally_218913,Hosuru,Hosuru,Piezometer,SGWD,130519,13.5827,77.446,338,Semi confined,NA,NA,NA,NA,95,82,70.07,90.06,99.42,86,91.05,71.2,90.02,62.5,38.15,5
1503,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Sonaganahally_218913,Sonaganahalli,Sonaganahalli,Piezometer,Atal Jal,130549,13.558,77.428,274.39,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3,25.3,20.65,1.25
1504,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Taridhalu_218914,Taridalu,Taridalu,Piezometer,Atal Jal,130550,13.485,77.439,304.87,Semi confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.35,24.36,15.82,4.5
1505,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Thondebhavi_218915,Manchenahalli,Manchenahalli,Piezometer,CGWB,W133000077320001,13.5,77.53333,30,Unconfined,NA,14.56,14.29,14.27,14.97,14.28,14.88,15.22,15.45,14.27,NA,NA,NA,9.13,9.04,3.56
1506,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Thondebhavi_218915,Thondebhavi,Thondebhavi,Piezometer,Atal Jal,130551,13.49305,77.53238,140.28,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,7.35
1507,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,Vatadahosahally_218916,Vatadahosahalli,Vatadahosahalli,Piezometer,SGWD,130512,13.704,77.623,183,Semi confined,30.15,29.9,24.1,13.05,19.7,18.49,26.14,32.61,51.42,60,65.02,44.1,53.65,16.4,12.02,1.3
1508,Karnataka_29,Chikkaballapur_630,Gauribidanur_5595,NA,Gouribidanur,Gouribidanur,Piezometer,SGWD,130517,13.60962,77.51995,305,Semi confined,NA,NA,NA,NA,150.04,135.14,135.11,135.67,139.05,134.63,134.65,97.02,90,24.25,11.9,9.8
1509,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Beechaganahally_218917,Beechaganahally,Beechaganahally,Piezometer,Atal Jal,130609,13.67012,77.773,335.36,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,3.82
1510,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Dapparti_272732,Dapparthi,Dapparthi,Piezometer,Atal Jal,130610,13.68625,77.74433,298.78,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.99,27.45
1511,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Hampasandra_218918,Hampasandra,Hampasandra,Piezometer,Atal Jal,130611,13.74005,77.75023,183,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3,6,7.64,4.19
1512,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Somenahally_218919,Somenahalli,Somenahalli,Piezometer,Atal Jal,130612,13.6465,77.833,323.17,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.91,6.19
1513,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Tirumani_218920,Tirumani,Tirumani,Piezometer,Atal Jal,130613,13.69171,77.81388,320.27,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.99,7.1
1514,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Ullodu_218921,Gudibande,Gudibande,Piezometer,SGWD,130608,13.6706,77.7118,206,Semi confined,34.65,8.3,17.3,11.95,26.05,7.09,12.65,10.8,29.03,10.95,20.76,7.52,10.11,2.67,5.3,3.55
1515,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Ullodu_218921,Ullodu,Ullodu,Piezometer,Atal Jal,130614,13.64164,77.69515,305,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3,13.2,12.7,4.46
1516,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Varlakonda_218922,Varlakonda,Varlakonda,Piezometer,SGWD,130607,13.6357,77.7839,89,Semi confined,19.15,9.2,14,12.9,15,9.34,11.74,12.61,16,12.45,16.65,10.12,14,3.35,7.3,3.5
1517,Karnataka_29,Chikkaballapur_630,Gudibande_5597,Yellodu_218923,Yellodu,Yellodu,Piezometer,SGWD,130603,13.7379,77.6871,37,Semi confined,23.75,23.8,22.3,20.5,22.71,20.71,22.13,22.22,26.05,18.94,21,18.75,21.75,10.1,14.1,9.1
1518,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Abludu_219018,Abludu,Abludu,Piezometer,Atal Jal,131017,13.4388,77.8529,282,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,29.8,27.33,23.85
1519,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Anur_219019,Anoor,Anoor,Piezometer,Atal Jal,131018,13.37702,77.87666,350,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6,32.77,32.65
1520,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Baktharahalli_219021,Baktharahalli,Baktharahalli,Piezometer,Atal Jal,131019,13.33068,77.84977,366,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.2,155.56
1521,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Bashetnahalli_219020,Bashettahalli,Bashettahalli,Piezometer,Atal Jal,131020,13.53145,77.85911,350,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.6,62.1,36.1
1522,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Chimangala_219022,Cheemangala,Cheemangala,Piezometer,Atal Jal,131021,13.30802,77.90946,327.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,241.21,216.9
1523,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Devaramaulur_219023,Deveramaraluru,Deveramaraluru,Piezometer,Atal Jal,131022,13.41583,77.90821,335.4,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.28,79.62,80.6
1524,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Dibburahalli_219024,Diburahalli,Diburahalli,Piezometer,SGWD,131002,13.5581,77.9044,65,Semi confined,30.55,22.05,25.3,25.76,27,21.1,27.52,25.42,27,22.37,26.4,22.7,26.05,4.04,9.99,7.5
1525,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Dibburahalli_219024,Dibburahalli Pz,Dibburahalli Pz,Piezometer,CGWB,W133321077543302,13.5558,77.9092,50,Semi confined,33.9,24.57,NA,23.54,24.13,17.74,22.62,22.76,NA,21.8,NA,NA,NA,32.46,5.56,4.15
1526,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Doddathekalahalli_219025,Ajjakadirenahalli,Ajjakadirenahalli,Piezometer,SGWD,131013,13.486,77.8648,194,Semi confined,69.25,63,78,70.2,79.17,71.68,91.55,119.07,128.25,110,140,103.1,143.05,49.95,100.82,49.5
1527,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Ganjigunta_219026,Ganjigunte,Ganjigunte,Piezometer,SGWD,131004,13.4899,77.9827,73.7,Semi confined,26.65,26.25,16.3,13.82,18.42,18,20,24,19,21.55,23,20.93,17.75,8.6,25.28,6.7
1528,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Handiganala_219027,Appegowdanahalli,Appegowdanahalli,Piezometer,Atal Jal,131023,13.376,77.847,366,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,47.1,162.66
1529,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Hospate_219028,Hospete,Hospete,Piezometer,Atal Jal,131024,13.27182,77.8455,300,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.5,80.6,116.86,52.1
1530,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Jangamakote_219029,Jangamakote,Jangamakote,Piezometer,SGWD,131015,13.2622,77.8467,215,Semi confined,30.15,29.9,24.1,13.05,19.7,18.49,26.14,32.61,51.42,60,NA,NA,NA,30.1,Dry,Dry
1531,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Jangamakote_219029,Jangamakote,Jangamakote,Piezometer,SGWD,131025,13.26183,77.84473,282,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1,33.8,23.1
1532,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Kothanur_219030,Kothanuru,Kothanuru,Piezometer,Atal Jal,131026,13.39239,77.92608,280,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.35,58.5,63.61,43.37
1533,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Kumbiganahalli_219031,H.Cross,H.Cross,Piezometer,SGWD,131008,13.24265,77.92974,49,Semi confined,7.2,NA,NA,NA,7.96,3.55,5.98,6.82,9.55,6.53,8.3,3.12,5,0.9,1.9,0.8
1534,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Kundalagurki_219032,Kundlagurki,Kundlagurki,Piezometer,Atal Jal,131027,13.4506,77.94729,335.36,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,17.51,11.39
1535,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Malamachanahalli_219033,Chikdasarahalli,Chikdasarahalli,Piezometer,Atal Jal,131028,13.33821,77.88353,274.39,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.58,62.89
1536,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Mallur_219034,Malluru,Malluru,Piezometer,Atal Jal,131029,13.34008,77.81836,213.4,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.43,49.1,41.37
1537,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Melur_219035,Meluru,Meluru,Piezometer,Atal Jal,131030,13.34875,77.82762,244,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,144,103
1538,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Nagamangala_219036,Nagamangla,Nagamangla,Piezometer,Atal Jal,131031,13.30465,77.84347,335.4,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.2,62.19
1539,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Palicherlu_219037,Palicherlu,Palicherlu,Piezometer,Atal Jal,131032,13.47905,77.90392,274.4,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.28,43.1,23.94
1540,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,S.Devaganahalli_219038,S Devaganahalli,S Devaganahalli,Piezometer,Atal Jal,131033,13.61038,77.83985,253,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.6,15.5,8.89,5.58
1541,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Sadali_219039,Sadali,Sadali,Piezometer,SGWD,131016,13.6263,77.8759,162,Semi confined,114,124.9,130.2,85.3,95.73,99.84,97.99,127,142.35,144,146,125.31,77.3,29.9,11.05,4.3
1542,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Talakayalabetta_272733,Gandlachinte,Gandlachinte,Piezometer,SGWD,131014,13.5903,77.9267,243,Semi confined,NA,NA,NA,87.55,96.85,84.75,92.15,101,104.6,105,110.05,92.85,103,17.51,25.98,15.9
1543,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Thammanahalli_219042,Tummanahalli,Tummanahalli,Piezometer,Atal Jal,131034,13.35877,77.9118,213,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,18.56,12.3,6.92
1544,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Thimmanayakanahalli_219040,Madivala,Madivala,Piezometer,CGWB,W133030077573001,13.5083,77.9583,65,Semi confined,NA,40.69,40.28,38.58,44,36.54,NA,43.11,45,39.33,61.9,19.6,NA,13.02,22.5,17.3
1545,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Thimmanayakanahalli_219040,Timmanayakanahalli,Timmanayakanahalli,Piezometer,Atal Jal,131035,13.53842,77.92033,182.9,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,9.5,12.75,6.58
1546,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Thimmasandra_219041,Thimmasandra,Thimmasandra,Piezometer,Atal Jal,131036,13.6218,77.9507,305,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,3.8,4.01,1.79
1547,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Venkatapura_219043,Venkatapura,Venkatapura,Piezometer,Atal Jal,131037,13.27785,77.82078,305,Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.6,194,191.84,138.12
1548,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,Y.Hunasenahalli_219044,Hunsenahalli,Hunsenahalli,Piezometer,SGWD,131009,13.4008,77.9471,70,Semi confined,33.25,27.85,30.8,32,35.02,33.46,34.86,35.85,37.55,35,41.02,27.79,20.5,32.84,28.5,25.1
1549,Karnataka_29,Chikkaballapur_630,Sidlaghatta_5873,NA,Sidlaghatta,Sidlaghatta,Piezometer,SGWD,131012,13.3936,77.8655,65,Semi confined,28.3,27.3,23.5,25.33,29.05,21.1,23.17,23.9,27.45,24.64,27.9,22.2,23.72,12.94,15.82,13.8
1550,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Aanegere_216835,Annegere,Annegere,Piezometer,SGWD,60222,13.544,76.282,97.5,Semi Confined,NA,NA,NA,NA,NA,NA,19.1,17.3,23.9,9.8,9.6,6.6,8.4,4.4,2.9,0.65
1551,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Annigere_244975,Anigere,Anigere,Piezometer,Atal Jal,O60259,13.56625,76.15149,166.11,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28,12.35,5.74
1552,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Asandhi_216837,Asandi,Asandi,Piezometer,Atal Jal,60224,13.71336,76.09062,153.96,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27,12.8,4.1
1553,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Balliganur_216839,Baliganuru,Baliganuru,Piezometer,Atal Jal,O60257,13.58923,75.90203,135.63,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.99,10.82,6.25
1554,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Banur_216840,Banuru,Banuru,Piezometer,Atal Jal,O60240,13.43296,75.96358,178.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,10.62,7.61
1555,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Basoor_216841,Basuru,Basuru,Piezometer,Atal Jal,60227,13.62711,76.06356,163.11,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12,9.85,3.01
1556,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Biluvala_216842,Biluvalla,Biluvalla,Piezometer,Atal Jal,O60255,13.58168,76.08175,158.49,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52,13.01,7.72
1557,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Bisilere_216844,Bislere,Bislere,Piezometer,Atal Jal,60228,13.63311,76.08707,161.59,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16,5.8,1.95
1558,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Bisleahalli_216843,Bisllehalli,Bisllehalli,Piezometer,Atal Jal,O60252,13.48393,75.9662,167.63,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.62,18.9,6.5
1559,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Chikkaballekere_216846,Chikkaballekere,Chikkaballekere,Piezometer,Atal Jal,60229,13.67821,76.12676,161.59,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,6.48,0.62
1560,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Chikkadevanur_216847,Chikkadevanuru,Chikkadevanuru,Piezometer,Atal Jal,O60237,13.42355,76.10723,178.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.82,21.49,1.75
1561,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Chikkangala_216848,Kannenahalli,Kannenahalli,Piezometer,Atal Jal,O60251,13.52876,75.96867,178.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87,17.93,3.29
1562,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Devanur_216850,Devanuru,Devanuru,Piezometer,Atal Jal,O60236,13.42687,76.09075,178.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.53,31.88,4.63
1563,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Emmedoddi_216892,Emmedoddi,Emmedoddi,Piezometer,Atal Jal,O60244,13.5136,75.89853,48.77,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74,4.38,1.59
1564,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Ganganahalli_216851,Gangenahalli,Gangenahalli,Piezometer,Atal Jal,O60260,13.57385,76.30176,135.63,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,3.41,0.12
1565,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Garje_216852,Garje,Garje,Piezometer,Atal Jal,O60264,13.60601,76.11853,123.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,1.94,-0.5
1566,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Giriyapura_216853,Giriyapura,Giriyapura,Piezometer,Atal Jal,60225,13.68554,76.0425,161.59,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49,7.27,4.42
1567,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Haralagatta_272692,Haralghatta,Haralghatta,Piezometer,Atal Jal,O60243,13.54729,75.94757,143.25,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,5.9,2.23
1568,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Hirenallur_216855,Hirenalluru,Hirenalluru,Piezometer,Atal Jal,60226,13.67115,76.04053,163.11,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.07,4,1.28
1569,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Hochihalli_216856,Hochihalli,Hochihalli,Piezometer,SGWD,060216HP,13.6141,76.2388,66,Semi confined,9.35,7.55,7.45,17.15,22.55,12.25,15.45,15.05,24.65,5.15,9.85,7.65,10.75,3.95,3.55,1.5
1570,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Hulikere_216854,Hulikere,Hulikere,Piezometer,Atal Jal,O60241,13.389,75.957,172.2,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.11,17.88,5.08
1571,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Hullehalli_216858,Birur,Birur,Piezometer,SGWD,060202 New,13.5951,75.9742,120,Semi confined,34.5,29.8,28.8,31.55,33.8,33.7,33.8,31.8,39.7,27.5,29.5,27,27.5,22.5,NA,NA
1572,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Hullehalli_216858,Birur,Birur,Piezometer,SGWD,60268,13.59426,75.97442,123.43,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,12.5
1573,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Jiganehalli_216859,Alagahatta,Alagahatta,Piezometer,Atal Jal,O60239,13.47139,76.01508,178.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.77,30,6.85
1574,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Jodihochihalli_216857,Jodihochihalli,Jodihochihalli,Piezometer,SGWD,60219,13.4353,76.0442,121,Semi confined,NA,NA,19.7,36.8,51.3,50.9,73,64.6,78.2,54.5,34.1,24.5,30.1,15.9,18.8,4
1575,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Jodithimmapura_216860,Jodithimmapura,Jodithimmapura,Piezometer,Atal Jal,O60256,13.63078,75.94403,176.78,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36,11.71,3.5
1576,Karnataka_29,Chikkamagaluru_532,Kadur_5803,K.Bidare_216861,K. Bidare,K. Bidare,Piezometer,Atal Jal,O60262,13.54692,76.21233,164.58,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,0.68,1.7
1577,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Kadur (Rural)_216862,Kadurhalli,Kadurhalli,Piezometer,Atal Jal,O60246,13.521,76.0203,124.96,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94,9.69,3.1
1578,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Kamanakere_216864,K. Dasarahalli,K. Dasarahalli,Piezometer,SGWD,060217HP,13.6214,76.0425,60,Semi confined,31.4,16.7,12.65,20.05,36.4,37.9,40.8,42.1,51.2,26.3,27.7,24.9,31.3,14,11.7,4.7
1579,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Kamanakere_216864,Kamanakere,Kamanakere,Piezometer,Atal Jal,O60267,13.63095,76.03638,153.92,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.87,11,4.5
1580,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Keresante_216865,Keresanthe,Keresanthe,Piezometer,Atal Jal,O60263,13.47605,76.13025,178.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.86,16.12,3.86
1581,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Kunkanadu_216866,Kunkanadu,Kunkanadu,Piezometer,Atal Jal,O60232,13.58869,76.24938,167.68,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,3.73,1.45
1582,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Malleswara_216867,Machheri,Machheri,Piezometer,Atal Jal,O60245,13.54667,76.05279,160.01,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68,6.04,2.8
1583,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Mathigatte_216868,Mathighatta,Mathighatta,Piezometer,SGWD,60211,13.489,76.0888,33,Semi confined,32.55,25.45,18.3,27.15,26.85,27.05,26.35,26.85,28.15,23.15,26.65,25.45,NA,NA,NA,NA
1584,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Mathigatte_216868,Kuppalu,Kuppalu,Piezometer,Atal Jal,O60223,13.47383,76.1077,170.73,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,19.6,8.3
1585,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Nagaralu_216869,Nagarahalu,Nagarahalu,Piezometer,Atal Jal,O60238,13.41702,76.05925,178.3,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.37,35.75,15.54
1586,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Nagenahalli_216870,Nagenahalli,Nagenahalli,Piezometer,Atal Jal,O60265,13.41899,75.95116,123.44,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,1.6,-0.4
1587,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Nidaghatta_216871,Nidaghatta,Nidagatta,Piezometer,Atal Jal,O60266,13.403,76.045,135.63,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.37,4.93
1588,Karnataka_29,Chikkamagaluru_532,Kadur_5803,Niduvalli_216872,Niduvalli,Niduvalli,Piezometer,Atal Jal,O60235,13.55992,76.31729,175,Semi Confined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,4.58,0.82
